[control]player_id,Time_Index,playerStanding,playerScore,playerSpeed,playerIsGrounded,playerIsMidAir,playerIsLooping,playerIsCrashing,playerIsOffRoad,playerGasPedal,playerSteering,playerLap,playerDistanceToWayPoint,playerDeltaDistance,playerDeltaRotation,playerRespawn,visibleBotCount,botStanding,botScore,botSpeed,botIsGrounded,botIsLooping,botIsOffRoad,botIsCrashing,botGasPedal,botSteering,botLap,botDistanceToWayPoint,botDeltaDistance,botDeltaRotation,botPlayerDistance,botRespawn,visibleLoopCount,Cluster,[output]arousal
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,0,-1.0,0.0,0.0212666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.2645,0.000368578,0.0,0.0,2.0,-1.0,0.0,0.010919825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0415,0.000189209,0.0,20.876875,0.0,1.0,2.0,0.6818181818181819
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,1,-1.0,0.0,0.021325175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.2445,0.000363871,0.0,0.0,2.0,-1.0,0.0,0.0109497999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0515,0.00018700175,0.0,20.8463,0.0,1.0,2.0,0.6818181818181819
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,2,-0.66666675,0.0,0.2171124,1.0,0.0,0.0,0.0,0.0,0.07493475,0.0,0.0,205.21725,0.00273980525,0.00017522175,0.0,2.0,-0.79166675,0.0,0.2154025749999999,1.0,0.0,0.0,0.0,0.05,0.04166675,0.0,191.053,0.002964454,0.00125885,20.81725,0.0,1.0,2.0,0.6818181818181819
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,3,3.0,0.0,29.7588,1.0,0.0,0.0,0.0,0.0,1.0,-0.138833,0.0,194.17125,0.51045775,0.2187986375,0.0,2.0,1.5,0.0,22.5960775,1.0,0.0,0.0,0.0,0.7666667500000001,0.08333325,0.0,182.75925,0.3875834999999999,0.067688231,17.96415,0.0,1.0,2.0,0.696969696969697
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,4,3.0,0.0,47.050575,1.0,0.0,0.0,0.01785715,0.0,1.0,0.20840265,0.0,157.30175,0.8421259999999999,0.4871109999999999,0.0,2.5107125,2.28141,0.0,43.53455,1.0,0.0,0.0,0.0,0.7675000000000001,0.08125,0.0,156.69774999999998,0.78013825,0.09196019775,11.626125,0.0,1.0,2.0,0.7121212121212122
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,5,2.134615,0.0,44.4605,1.0,0.0,0.0,0.03589745,0.0,1.0,0.53321575,0.0,118.1215,0.78595175,0.45178675,0.0,2.710255,2.5929825,0.0,39.617975,1.0,0.0,0.0,0.00555555,0.48970775,0.609064225,0.0,120.6785,0.69772525,0.9529805,9.8156925,0.0,1.0,2.0,0.7272727272727273
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,6,2.0,0.0,35.66115,1.0,0.0,0.0,0.0,0.0,1.0,0.4376725,0.0,80.48535,0.5541685000000001,0.8817082500000001,0.0,1.942095,1.97205,0.0,32.574275,1.0,0.0,0.0,0.00735295,0.44105675,-0.26963075,0.0,82.75895,0.5082745,0.78657225,8.705919999999999,0.0,0.25,2.0,0.7424242424242424
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,7,2.0,0.0,24.25193333333333,1.0,0.0,0.0,0.0833333333333333,0.0,1.0,-0.2683316666666667,0.0,54.18803333333333,0.394371,0.4817203333333333,0.0,1.8333333333333333,3.36111,0.0,32.0287,1.0,0.0,0.0,0.0208333333333333,0.65,-0.236111,0.0,65.08926666666666,0.5285556666666666,0.591386,11.510956666666669,0.0,0.0,2.0,0.7727272727272728
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,8,2.0,0.0,21.081075,1.0,0.0,0.0,0.045955875,0.0,0.83940375,-0.91415575,0.0,35.23875,0.3355619999999999,0.2053675,0.0,2.0,3.5,0.0,21.424575,1.0,0.0,0.0,0.03079045,0.60294125,-0.32169125,0.0,41.51225,0.3401254999999999,0.39178225,6.6746875,0.0,0.0,2.0,0.8030303030303031
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,9,2.0,0.0,14.406,1.0,0.0,0.0,0.014705875,0.0,0.426027875,-1.0,0.0,18.023775,0.2242495,0.305776,0.0,1.7058825,2.523215,0.0,14.975025,1.0,0.0,0.0,0.014705875,0.2060715,-0.0473214999999999,0.0,21.3442,0.23147125,0.4967085,5.5688675,0.0,0.0,2.0,0.8030303030303031
